Symbol,Interim_Buffer_Date,Interim_Open,Interim_Low,Interim_High,Interim_Close
EOD/CAT,2016-08-19 00:00:00.000,83.06,82.76,84.38,83.84
EOD/CAT,2016-08-18 00:00:00.000,83.41,82.51,83.61,83.38
EOD/CAT,2016-08-17 00:00:00.000,84.41,83.84,84.73,84.41
EOD/CAT,2016-08-16 00:00:00.000,84.21,83.64,84.36,84.29
EOD/CAT,2016-08-15 00:00:00.000,83,82.9601,84.275,84.15
EOD/CAT,2016-08-12 00:00:00.000,83.26,82.58,83.78,83
EOD/CAT,2016-08-11 00:00:00.000,83,82.9901,83.65,83.24
EOD/CAT,2016-08-10 00:00:00.000,83.31,82.48,83.31,82.65
EOD/CAT,2016-08-09 00:00:00.000,83.52,82.7,83.75,82.83
EOD/CAT,2016-08-08 00:00:00.000,83,82.8,83.79,83.44
EOD/CAT,2016-08-05 00:00:00.000,82.22,82,82.9582,82.56
EOD/CAT,2016-08-04 00:00:00.000,81.82,81.4,82.54,81.77
EOD/CAT,2016-08-03 00:00:00.000,81.15,80.93,82.3,82.03
EOD/CAT,2016-08-02 00:00:00.000,82,80.92,82.19,81.24
EOD/CAT,2016-08-01 00:00:00.000,82.76,81.53,82.88,81.95
EOD/CAT,2016-07-29 00:00:00.000,82.8,82.1345,83.14,82.76
EOD/CAT,2016-07-28 00:00:00.000,83.7,82.45,83.7148,82.92
EOD/CAT,2016-07-27 00:00:00.000,82.72,82.72,84.29,84.1
EOD/CAT,2016-07-26 00:00:00.000,79.04,78.74,83,82.75
EOD/CAT,2016-07-25 00:00:00.000,79.15,78.34,79.185,78.69
EOD/CAT,2016-07-22 00:00:00.000,79.78,78.86,79.79,79.38
EOD/CAT,2016-07-21 00:00:00.000,80.45,79.74,81.375,80.01
EOD/CAT,2016-07-20 00:00:00.000,79.45,78.93,79.86,79.69
EOD/CAT,2016-07-19 00:00:00.000,79.34,79.15,79.77,79.74
EOD/CAT,2016-07-18 00:00:00.000,79.88,78.87,79.89,79.82
EOD/CAT,2016-07-15 00:00:00.000,80.49,80.16,80.8,80.7
EOD/CAT,2016-07-14 00:00:00.000,80.5,79.97,81,80.06
EOD/CAT,2016-07-13 00:00:00.000,79.98,79.07,80.33,79.69
EOD/CAT,2016-07-12 00:00:00.000,78.72,78.3,79.94,79.8
EOD/CAT,2016-07-11 00:00:00.000,78,77.32,78.54,77.8
EOD/CAT,2016-07-08 00:00:00.000,75.92,75.78,77.43,77.37
EOD/CAT,2016-07-07 00:00:00.000,75.07,74.38,75.73,75.05
EOD/CAT,2016-07-06 00:00:00.000,74.59,73.46,74.87,74.83
EOD/CAT,2016-07-05 00:00:00.000,75.66,73.7,75.95,74.38
EOD/CAT,2016-07-01 00:00:00.000,75.38,75.32,76.99,76.45
EOD/CAT,2016-06-30 00:00:00.000,74.17,73.97,75.85,75.81
EOD/CAT,2016-06-29 00:00:00.000,73.25,72.79,74.395,74.23
EOD/CAT,2016-06-28 00:00:00.000,72.24,71.51,72.9,72.52
EOD/CAT,2016-06-27 00:00:00.000,72.5,70.53,72.71,71.38
EOD/CAT,2016-06-24 00:00:00.000,75.2,72.99,75.61,73.03
EOD/CAT,2016-06-23 00:00:00.000,77.66,77.22,78.25,78.22
EOD/CAT,2016-06-22 00:00:00.000,76.89,76.18,77.09,76.43
EOD/CAT,2016-06-21 00:00:00.000,76.45,76.01,76.9,76.49
EOD/CAT,2016-06-20 00:00:00.000,76.91,76.39,77.35,76.43
EOD/CAT,2016-06-17 00:00:00.000,75.35,75.24,76.66,75.93
EOD/CAT,2016-06-16 00:00:00.000,74.41,73.35,75.14,74.99
EOD/CAT,2016-06-15 00:00:00.000,75.19,74.34,75.95,75.07
